;municipio;codEstacao;Dia;PrecD;Acumulado 3 dias
4409;SÃO JOAQUIM DO MONTE;261330501A;27;1,39;
4410;SÃO JOAQUIM DO MONTE;261330501A;28;4,01;
4411;SÃO JOAQUIM DO MONTE;261330501A;29;1,61;
4412;SÃO JOAQUIM DO MONTE;261330501A;30;0,2;
4413;SÃO JOAQUIM DO MONTE;261330501A;31;0,2;
4414;SÃO JOSÉ DO EGITO;261360201C;7;0;
4415;SÃO JOSÉ DO EGITO;261360201C;8;0;
4416;SÃO JOSÉ DO EGITO;261360201C;9;0;
4417;SÃO JOSÉ DO EGITO;261360201C;10;0;
4418;SÃO JOSÉ DO EGITO;261360201C;11;0;
4419;SÃO JOSÉ DO EGITO;261360201C;12;0;
4420;SÃO JOSÉ DO EGITO;261360201C;13;0;
4421;SÃO JOSÉ DO EGITO;261360201C;14;0;
4422;SÃO JOSÉ DO EGITO;261360201C;15;0;
4423;SÃO JOSÉ DO EGITO;261360201C;16;0;
4424;SÃO JOSÉ DO EGITO;261360201C;17;0;
4425;SÃO JOSÉ DO EGITO;261360201C;18;0;
4426;SÃO JOSÉ DO EGITO;261360201C;19;9,6;
4427;SÃO JOSÉ DO EGITO;261360201C;20;0;
4428;SÃO JOSÉ DO EGITO;261360201C;21;0;
4429;SÃO JOSÉ DO EGITO;261360201C;22;0;
4430;SÃO JOSÉ DO EGITO;261360201C;23;0;
4431;SÃO JOSÉ DO EGITO;261360201C;24;0;
4432;SÃO JOSÉ DO EGITO;261360201C;26;0,2;
4433;SÃO JOSÉ DO EGITO;261360201C;31;0;
4434;SÃO LOURENÇO DA MATA;261370101A;1;4,33;
4435;SÃO LOURENÇO DA MATA;261370101A;2;1,8;
4436;SÃO LOURENÇO DA MATA;261370101A;3;0,2;
4437;SÃO LOURENÇO DA MATA;261370101A;4;1,2;
4438;SÃO LOURENÇO DA MATA;261370101A;5;0;
4439;SÃO LOURENÇO DA MATA;261370101A;6;0;
4440;SÃO LOURENÇO DA MATA;261370101A;7;0;
4441;SÃO LOURENÇO DA MATA;261370101A;8;0;
4442;SÃO LOURENÇO DA MATA;261370101A;9;0;
4443;SÃO LOURENÇO DA MATA;261370101A;10;0;
4444;SÃO LOURENÇO DA MATA;261370101A;11;0;
4445;SÃO LOURENÇO DA MATA;261370101A;12;0;
4446;SÃO LOURENÇO DA MATA;261370101A;13;0;
4447;SÃO LOURENÇO DA MATA;261370101A;14;0;
4448;SÃO LOURENÇO DA MATA;261370101A;15;0;
4449;SÃO LOURENÇO DA MATA;261370101A;16;0;
4450;SÃO LOURENÇO DA MATA;261370101A;17;0;
4451;SÃO LOURENÇO DA MATA;261370101A;18;0,79;
4452;SÃO LOURENÇO DA MATA;261370101A;19;0;
4453;SÃO LOURENÇO DA MATA;261370101A;20;0;
4454;SÃO LOURENÇO DA MATA;261370101A;21;0;
4455;SÃO LOURENÇO DA MATA;261370101A;22;0;
4456;SÃO LOURENÇO DA MATA;261370101A;23;0;
4457;SÃO LOURENÇO DA MATA;261370101A;24;0;
4458;SÃO LOURENÇO DA MATA;261370101A;25;0;
4459;SÃO LOURENÇO DA MATA;261370101A;26;0;
4460;SÃO LOURENÇO DA MATA;261370101A;27;0;
4461;SÃO LOURENÇO DA MATA;261370101A;28;0;
4462;SÃO LOURENÇO DA MATA;261370101A;29;0;
4463;SÃO LOURENÇO DA MATA;261370101A;30;0;
4464;SÃO LOURENÇO DA MATA;261370101A;31;0;
4465;SÃO LOURENÇO DA MATA;261370102A;1;5,18;
4466;SÃO LOURENÇO DA MATA;261370102A;2;10,65;
4467;SÃO LOURENÇO DA MATA;261370102A;3;0,2;
4468;SÃO LOURENÇO DA MATA;261370102A;4;0;
4469;SÃO LOURENÇO DA MATA;261370102A;5;0;
4470;SÃO LOURENÇO DA MATA;261370102A;6;0;
4471;SÃO LOURENÇO DA MATA;261370102A;7;14,6;
4472;SÃO LOURENÇO DA MATA;261370102A;8;0;
4473;SÃO LOURENÇO DA MATA;261370102A;9;0;
4474;SÃO LOURENÇO DA MATA;261370102A;10;0,4;
4475;SÃO LOURENÇO DA MATA;261370102A;11;0;
4476;SÃO LOURENÇO DA MATA;261370102A;12;0;
4477;SÃO LOURENÇO DA MATA;261370102A;13;1,21;
4478;SÃO LOURENÇO DA MATA;261370102A;14;0,4;
4479;SÃO LOURENÇO DA MATA;261370102A;15;0;
4480;SÃO LOURENÇO DA MATA;261370102A;16;0;
4481;SÃO LOURENÇO DA MATA;261370102A;17;0,62;
4482;SÃO LOURENÇO DA MATA;261370102A;18;6,89;
4483;SÃO LOURENÇO DA MATA;261370102A;19;13,42;
4484;SÃO LOURENÇO DA MATA;261370102A;20;0,2;
4485;SÃO LOURENÇO DA MATA;261370102A;21;0;
4486;SÃO LOURENÇO DA MATA;261370102A;22;1,77;
4487;SÃO LOURENÇO DA MATA;261370102A;23;5,13;
4488;SÃO LOURENÇO DA MATA;261370102A;24;0,8;
4489;SÃO LOURENÇO DA MATA;261370102A;25;6,11;
4490;SÃO LOURENÇO DA MATA;261370102A;26;26,62;
4491;SÃO LOURENÇO DA MATA;261370102A;27;2;
4492;SÃO LOURENÇO DA MATA;261370102A;28;3,39;
4493;SÃO LOURENÇO DA MATA;261370102A;29;0,4;
4494;SÃO LOURENÇO DA MATA;261370102A;30;0;
4495;SÃO LOURENÇO DA MATA;261370102A;31;0;
4496;SÃO LOURENÇO DA MATA;261370103A;1;13,8;
4497;SÃO LOURENÇO DA MATA;261370103A;2;14,79;
4498;SÃO LOURENÇO DA MATA;261370103A;3;0,4;
4499;SÃO LOURENÇO DA MATA;261370103A;4;0;
4500;SÃO LOURENÇO DA MATA;261370103A;5;0;
4501;SÃO LOURENÇO DA MATA;261370103A;6;0,6;
4502;SÃO LOURENÇO DA MATA;261370103A;7;16,75;
4503;SÃO LOURENÇO DA MATA;261370103A;8;0;
4504;SÃO LOURENÇO DA MATA;261370103A;9;0,2;
4505;SÃO LOURENÇO DA MATA;261370103A;10;0,62;
4506;SÃO LOURENÇO DA MATA;261370103A;11;0;
4507;SÃO LOURENÇO DA MATA;261370103A;12;0;
4508;SÃO LOURENÇO DA MATA;261370103A;13;0,8;
4509;SÃO LOURENÇO DA MATA;261370103A;14;0;
4510;SÃO LOURENÇO DA MATA;261370103A;15;0;
4511;SÃO LOURENÇO DA MATA;261370103A;16;0;
4512;SÃO LOURENÇO DA MATA;261370103A;17;2,57;
4513;SÃO LOURENÇO DA MATA;261370103A;18;3,77;
4514;SÃO LOURENÇO DA MATA;261370103A;19;16,85;
4515;SÃO LOURENÇO DA MATA;261370103A;20;0,4;
4516;SÃO LOURENÇO DA MATA;261370103A;21;0;
4517;SÃO LOURENÇO DA MATA;261370103A;22;3,94;
4518;SÃO LOURENÇO DA MATA;261370103A;23;6,1;
4519;SÃO LOURENÇO DA MATA;261370103A;24;0;
4520;SÃO LOURENÇO DA MATA;261370103A;25;0,6;
4521;SÃO LOURENÇO DA MATA;261370103A;26;27,75;
4522;SÃO LOURENÇO DA MATA;261370103A;27;2,96;
4523;SÃO LOURENÇO DA MATA;261370103A;28;1,42;
4524;SÃO LOURENÇO DA MATA;261370103A;29;0,2;
4525;SÃO LOURENÇO DA MATA;261370103A;30;0;
4526;SÃO LOURENÇO DA MATA;261370103A;31;0;
4527;SÃO LOURENÇO DA MATA;261370104A;1;13;
4528;SÃO LOURENÇO DA MATA;261370104A;2;14,6;
4529;SÃO LOURENÇO DA MATA;261370104A;3;0,2;
4530;SÃO LOURENÇO DA MATA;261370104A;4;0;
4531;SÃO LOURENÇO DA MATA;261370104A;5;0;
4532;SÃO LOURENÇO DA MATA;261370104A;6;3;
4533;SÃO LOURENÇO DA MATA;261370104A;7;14;
4534;SÃO LOURENÇO DA MATA;261370104A;8;0,6;
4535;TABIRA;261460001C;8;0;
4536;TABIRA;261460001C;10;0;
4537;TABIRA;261460001C;19;0;
4538;TABIRA;261460001C;20;0;
4539;TABIRA;261460001C;21;0;
4540;TABIRA;261460001C;22;0;
4541;TABIRA;261460001C;23;0;
4542;TABIRA;261460001C;24;0;
4543;TABIRA;261460001C;25;0;
4544;TABIRA;261460001C;26;0;
4545;TABIRA;261460001C;27;0;
4546;TABIRA;261460001C;28;0;
4547;TABIRA;261460001C;29;0;
4548;TABIRA;261460001C;30;0;
4549;TABIRA;261460001C;31;0;
4550;TACAIMBÓ;261470901A;1;0,6;
4551;TACAIMBÓ;261470901A;2;0,6;
4552;TACAIMBÓ;261470901A;3;0,2;
4553;TACAIMBÓ;261470901A;4;0;
4554;TACAIMBÓ;261470901A;5;0;
4555;TACAIMBÓ;261470901A;6;0,2;
4556;TACAIMBÓ;261470901A;7;0,6;
4557;TACAIMBÓ;261470901A;8;0,2;
4558;TACAIMBÓ;261470901A;9;0;
4559;TACAIMBÓ;261470901A;10;0,2;
4560;TACAIMBÓ;261470901A;11;0;
4561;TACAIMBÓ;261470901A;12;0,2;
4562;TACAIMBÓ;261470901A;13;0,2;
4563;TACAIMBÓ;261470901A;14;0,2;
4564;TACAIMBÓ;261470901A;15;0,2;
4565;TACAIMBÓ;261470901A;16;0;
4566;TACAIMBÓ;261470901A;17;0;
4567;TACAIMBÓ;261470901A;18;0,8;
4568;TACAIMBÓ;261470901A;19;7,4;
4569;TACAIMBÓ;261470901A;20;2,4;
4570;TACAIMBÓ;261470901A;21;0;
4571;TACAIMBÓ;261470901A;22;2,4;
4572;TACAIMBÓ;261470901A;23;3;
4573;TACAIMBÓ;261470901A;24;0,6;
4574;TACAIMBÓ;261470901A;25;1,4;
4575;TACAIMBÓ;261470901A;26;1,4;
4576;TACAIMBÓ;261470901A;27;0;
4577;TACAIMBÓ;261470901A;28;4,8;
4578;TACAIMBÓ;261470901A;29;0,2;
4579;TACAIMBÓ;261470901A;30;0;
4580;TACAIMBÓ;261470901A;31;0;
4581;TACARATU;261480801C;3;0,4;
4582;TACARATU;261480801C;7;0;
4583;TACARATU;261480801C;8;0;
4584;TACARATU;261480801C;9;0;
4585;TACARATU;261480801C;10;0;
4586;TACARATU;261480801C;11;0;
4587;TACARATU;261480801C;12;0;
4588;TACARATU;261480801C;13;0;
4589;TACARATU;261480801C;14;0;
4590;TACARATU;261480801C;15;0;
4591;TACARATU;261480801C;16;0;
4592;TACARATU;261480801C;17;0;
4593;TACARATU;261480801C;18;0;
4594;TACARATU;261480801C;19;6;
4595;TACARATU;261480801C;20;0,6;
4596;TACARATU;261480801C;21;0;
4597;TACARATU;261480801C;22;0,4;
4598;TACARATU;261480801C;23;0,8;
4599;TACARATU;261480801C;24;0;
4600;TUPANATINGA;261580501C;1;1,4;
4601;TUPANATINGA;261580501C;2;0,8;
4602;TUPANATINGA;261580501C;4;0,2;
4603;TUPANATINGA;261580501C;7;2,4;
4604;TUPANATINGA;261580501C;8;0;
4605;TUPANATINGA;261580501C;9;0;
4606;TUPANATINGA;261580501C;10;0,2;
4607;TUPANATINGA;261580501C;11;0,2;
4608;TUPANATINGA;261580501C;12;0;
4609;TUPANATINGA;261580501C;13;0;
4610;TUPANATINGA;261580501C;14;0,2;
4611;TUPANATINGA;261580501C;15;0,2;
4612;TUPANATINGA;261580501C;16;0,2;
4613;TUPANATINGA;261580501C;17;0;
4614;TUPANATINGA;261580501C;18;0,4;
4615;TUPANATINGA;261580501C;19;7,2;
4616;TUPANATINGA;261580501C;20;4;
4617;TUPANATINGA;261580501C;21;0,2;
4618;TUPANATINGA;261580501C;22;3,2;
4619;TUPANATINGA;261580501C;23;8,2;
4620;TUPANATINGA;261580501C;24;2;
4621;TUPANATINGA;261580501C;25;1;
4622;TUPANATINGA;261580501C;26;1;
4623;TUPANATINGA;261580501C;28;5,4;
4624;TUPANATINGA;261580501C;29;0,8;
4625;TUPANATINGA;261580501C;30;8,2;
4626;TUPANATINGA;261580501C;31;0;
4627;TUPARETAMA;261590401C;7;0;
4628;TUPARETAMA;261590401C;8;0;
4629;TUPARETAMA;261590401C;9;0;
4630;TUPARETAMA;261590401C;10;0;
4631;TUPARETAMA;261590401C;11;0;
4632;TUPARETAMA;261590401C;12;0;
4633;TUPARETAMA;261590401C;13;0;
4634;TUPARETAMA;261590401C;14;0;
4635;TUPARETAMA;261590401C;15;0;
4636;TUPARETAMA;261590401C;16;0;
4637;TUPARETAMA;261590401C;17;0;
4638;TUPARETAMA;261590401C;18;0;
4639;TUPARETAMA;261590401C;19;0;
4640;TUPARETAMA;261590401C;20;0;
4641;TUPARETAMA;261590401C;21;0;
4642;TUPARETAMA;261590401C;22;0;
4643;TUPARETAMA;261590401C;23;0;
4644;TUPARETAMA;261590401C;24;0;
4645;TUPARETAMA;261590401C;31;0;
4646;VENTUROSA;261600101C;1;3,4;
4647;VENTUROSA;261600101C;7;0;
4648;VENTUROSA;261600101C;8;0;
4649;VENTUROSA;261600101C;9;0;
4650;VENTUROSA;261600101C;10;0;
4651;VENTUROSA;261600101C;11;0;
4652;VENTUROSA;261600101C;12;0;
4653;VENTUROSA;261600101C;13;0;
4654;VENTUROSA;261600101C;14;0;
4655;VENTUROSA;261600101C;15;0;
4656;VENTUROSA;261600101C;16;0;
4657;VENTUROSA;261600101C;17;0;
4658;VENTUROSA;261600101C;18;14;
4659;VENTUROSA;261600101C;19;5,4;
4660;VENTUROSA;261600101C;20;3;
4661;VENTUROSA;261600101C;21;0;
4662;VENTUROSA;261600101C;22;0,6;
4663;VENTUROSA;261600101C;23;0,6;
4664;VENTUROSA;261600101C;24;0;
4665;VENTUROSA;261600101C;25;0,6;
4666;VENTUROSA;261600101C;26;0,6;
4667;VENTUROSA;261600101C;27;0;
4668;VENTUROSA;261600101C;28;0;
4669;VENTUROSA;261600101C;29;0,6;
4670;VENTUROSA;261600101C;30;0,8;
4671;VENTUROSA;261600101C;31;0;
4672;VERTENTE DO LÉRIO;261618301C;1;0,8;
4673;VERTENTE DO LÉRIO;261618301C;2;1,2;
4674;VERTENTE DO LÉRIO;261618301C;3;0,2;
4675;VERTENTE DO LÉRIO;261618301C;4;0,2;
4676;VERTENTE DO LÉRIO;261618301C;7;1,2;
4677;VERTENTE DO LÉRIO;261618301C;8;0;
4678;VERTENTE DO LÉRIO;261618301C;9;0,2;
4679;VERTENTE DO LÉRIO;261618301C;10;0;
4680;VERTENTE DO LÉRIO;261618301C;11;0;
4681;VERTENTE DO LÉRIO;261618301C;12;0,2;
4682;VERTENTE DO LÉRIO;261618301C;13;0;
4683;VERTENTE DO LÉRIO;261618301C;14;0;
4684;VERTENTE DO LÉRIO;261618301C;15;0,2;
4685;VERTENTE DO LÉRIO;261618301C;16;0,2;
4686;VERTENTE DO LÉRIO;261618301C;17;0;
4687;VERTENTE DO LÉRIO;261618301C;18;3,2;
4688;VERTENTE DO LÉRIO;261618301C;19;5,2;
4689;VERTENTE DO LÉRIO;261618301C;20;0,2;
4690;VERTENTE DO LÉRIO;261618301C;21;0,2;
4691;VERTENTE DO LÉRIO;261618301C;22;2,8;
4692;VERTENTE DO LÉRIO;261618301C;23;0,4;
4693;VERTENTE DO LÉRIO;261618301C;24;0;
4694;VERTENTE DO LÉRIO;261618301C;31;0;
4695;VICÊNCIA;261630801A;1;3,36;
4696;VICÊNCIA;261630801A;2;6,53;
4697;VICÊNCIA;261630801A;3;0,4;
4698;VICÊNCIA;261630801A;4;0;
4699;VICÊNCIA;261630801A;5;0;
4700;VICÊNCIA;261630801A;6;0;
4701;VICÊNCIA;261630801A;7;3,98;
4702;VICÊNCIA;261630801A;8;0;
4703;VICÊNCIA;261630801A;9;0;
4704;VICÊNCIA;261630801A;10;0;
4705;VICÊNCIA;261630801A;11;0;
4706;VICÊNCIA;261630801A;12;0;
4707;VICÊNCIA;261630801A;13;0;
4708;VICÊNCIA;261630801A;14;0;
4709;VICÊNCIA;261630801A;15;0;
4710;VICÊNCIA;261630801A;16;0;
4711;VICÊNCIA;261630801A;17;0;
4712;VICÊNCIA;261630801A;18;8,34;
4713;VICÊNCIA;261630801A;19;14,28;
4714;VICÊNCIA;261630801A;20;0,79;
4715;VICÊNCIA;261630801A;21;0;
4716;VICÊNCIA;261630801A;22;1,78;
4717;VICÊNCIA;261630801A;23;0,99;
4718;VICÊNCIA;261630801A;24;0;
4719;VICÊNCIA;261630801A;25;0;
4720;VICÊNCIA;261630801A;26;6,99;
4721;VICÊNCIA;261630801A;27;0,4;
4722;VICÊNCIA;261630801A;28;1,38;
4723;VICÊNCIA;261630801A;29;0,2;
4724;VICÊNCIA;261630801A;30;0;
4725;VICÊNCIA;261630801A;31;0;
4726;VITÓRIA DE SANTO ANTÃO;261640702A;1;1,39;
4727;VITÓRIA DE SANTO ANTÃO;261640702A;2;0,4;
4728;VITÓRIA DE SANTO ANTÃO;261640702A;3;1,19;
4729;VITÓRIA DE SANTO ANTÃO;261640702A;4;0;
4730;VITÓRIA DE SANTO ANTÃO;261640702A;5;0;
4731;VITÓRIA DE SANTO ANTÃO;261640702A;6;0;
4732;VITÓRIA DE SANTO ANTÃO;261640702A;7;1,58;
4733;VITÓRIA DE SANTO ANTÃO;261640702A;8;0;
4734;VITÓRIA DE SANTO ANTÃO;261640702A;9;2,78;
4735;VITÓRIA DE SANTO ANTÃO;261640702A;10;0;
4736;VITÓRIA DE SANTO ANTÃO;261640702A;11;0;
4737;VITÓRIA DE SANTO ANTÃO;261640702A;12;0;
4738;VITÓRIA DE SANTO ANTÃO;261640702A;13;0;
4739;VITÓRIA DE SANTO ANTÃO;261640702A;14;0;
4740;VITÓRIA DE SANTO ANTÃO;261640702A;15;0;
4741;VITÓRIA DE SANTO ANTÃO;261640702A;16;0;
4742;VITÓRIA DE SANTO ANTÃO;261640702A;17;0;
4743;VITÓRIA DE SANTO ANTÃO;261640702A;18;2,78;
4744;VITÓRIA DE SANTO ANTÃO;261640702A;19;6,14;
4745;VITÓRIA DE SANTO ANTÃO;261640702A;20;0,4;
4746;VITÓRIA DE SANTO ANTÃO;261640702A;21;0;
4747;VITÓRIA DE SANTO ANTÃO;261640702A;22;0,98;
4748;VITÓRIA DE SANTO ANTÃO;261640702A;23;0,4;
4749;VITÓRIA DE SANTO ANTÃO;261640702A;24;0,2;
4750;VITÓRIA DE SANTO ANTÃO;261640702A;25;0,2;
4751;VITÓRIA DE SANTO ANTÃO;261640702A;26;0,8;
4752;VITÓRIA DE SANTO ANTÃO;261640702A;27;0,4;
4753;VITÓRIA DE SANTO ANTÃO;261640702A;28;0,4;
4754;VITÓRIA DE SANTO ANTÃO;261640702A;29;0;
4755;VITÓRIA DE SANTO ANTÃO;261640702A;30;0;
4756;VITÓRIA DE SANTO ANTÃO;261640702A;31;0;
4757;VITÓRIA DE SANTO ANTÃO;261640703A;1;0;
4758;VITÓRIA DE SANTO ANTÃO;261640703A;2;0;
4759;VITÓRIA DE SANTO ANTÃO;261640703A;3;0;
4760;VITÓRIA DE SANTO ANTÃO;261640703A;4;0;
4761;VITÓRIA DE SANTO ANTÃO;261640703A;5;0;
4762;VITÓRIA DE SANTO ANTÃO;261640703A;6;0;
4763;VITÓRIA DE SANTO ANTÃO;261640703A;7;0;
4764;VITÓRIA DE SANTO ANTÃO;261640703A;8;0;
4765;VITÓRIA DE SANTO ANTÃO;261640703A;9;0;
4766;VITÓRIA DE SANTO ANTÃO;261640703A;10;0;
4767;VITÓRIA DE SANTO ANTÃO;261640703A;11;0;
4768;VITÓRIA DE SANTO ANTÃO;261640703A;12;0;
4769;VITÓRIA DE SANTO ANTÃO;261640703A;13;0;
4770;VITÓRIA DE SANTO ANTÃO;261640703A;14;0;
4771;VITÓRIA DE SANTO ANTÃO;261640703A;15;0;
4772;VITÓRIA DE SANTO ANTÃO;261640703A;16;0;
4773;VITÓRIA DE SANTO ANTÃO;261640703A;17;0,2;
4774;VITÓRIA DE SANTO ANTÃO;261640703A;18;0,4;
4775;VITÓRIA DE SANTO ANTÃO;261640703A;19;0;
4776;VITÓRIA DE SANTO ANTÃO;261640703A;20;0;
4777;VITÓRIA DE SANTO ANTÃO;261640703A;21;0;
4778;VITÓRIA DE SANTO ANTÃO;261640703A;22;0;
4779;VITÓRIA DE SANTO ANTÃO;261640703A;23;0;
4780;VITÓRIA DE SANTO ANTÃO;261640703A;24;0;
4781;VITÓRIA DE SANTO ANTÃO;261640703A;25;0;
4782;VITÓRIA DE SANTO ANTÃO;261640703A;26;0;
4783;VITÓRIA DE SANTO ANTÃO;261640703A;27;0;
4784;VITÓRIA DE SANTO ANTÃO;261640703A;28;0;
4785;VITÓRIA DE SANTO ANTÃO;261640703A;29;0;
4786;VITÓRIA DE SANTO ANTÃO;261640703A;30;0;
4787;VITÓRIA DE SANTO ANTÃO;261640703A;31;0;
4788;VITÓRIA DE SANTO ANTÃO;261640704A;1;2,01;
4789;VITÓRIA DE SANTO ANTÃO;261640704A;2;0,2;
4790;VITÓRIA DE SANTO ANTÃO;261640704A;3;2,98;
4791;VITÓRIA DE SANTO ANTÃO;261640704A;4;0;
4792;VITÓRIA DE SANTO ANTÃO;261640704A;5;0;
4793;VITÓRIA DE SANTO ANTÃO;261640704A;6;0;
4794;VITÓRIA DE SANTO ANTÃO;261640704A;7;2,6;
4795;VITÓRIA DE SANTO ANTÃO;261640704A;8;0;
4796;VITÓRIA DE SANTO ANTÃO;261640704A;9;3,21;
4797;VITÓRIA DE SANTO ANTÃO;261640704A;10;0;
4798;VITÓRIA DE SANTO ANTÃO;261640704A;11;0;
4799;VITÓRIA DE SANTO ANTÃO;261640704A;12;0;
4800;VITÓRIA DE SANTO ANTÃO;261640704A;13;0,4;
4801;VITÓRIA DE SANTO ANTÃO;261640704A;14;0;
4802;VITÓRIA DE SANTO ANTÃO;261640704A;15;0;
4803;VITÓRIA DE SANTO ANTÃO;261640704A;16;0;
4804;VITÓRIA DE SANTO ANTÃO;261640704A;17;0,4;
4805;VITÓRIA DE SANTO ANTÃO;261640704A;18;2,96;
4806;VITÓRIA DE SANTO ANTÃO;261640704A;19;7,14;
4807;VITÓRIA DE SANTO ANTÃO;261640704A;20;0,2;
4808;VITÓRIA DE SANTO ANTÃO;261640704A;21;0;
4809;VITÓRIA DE SANTO ANTÃO;261640704A;22;4,36;
4810;VITÓRIA DE SANTO ANTÃO;261640704A;23;1,02;
4811;VITÓRIA DE SANTO ANTÃO;261640704A;24;0,99;
4812;VITÓRIA DE SANTO ANTÃO;261640704A;25;0,2;
4813;VITÓRIA DE SANTO ANTÃO;261640704A;26;2,59;
4814;VITÓRIA DE SANTO ANTÃO;261640704A;27;1,02;
4815;VITÓRIA DE SANTO ANTÃO;261640704A;28;0;
4816;VITÓRIA DE SANTO ANTÃO;261640704A;29;0;
4817;VITÓRIA DE SANTO ANTÃO;261640704A;30;0;
4818;VITÓRIA DE SANTO ANTÃO;261640704A;31;0;
4819;XEXÉU;261650601A;1;11,56;
4820;XEXÉU;261650601A;2;2,01;
4821;XEXÉU;261650601A;3;0;
4822;XEXÉU;261650601A;4;0;
4823;XEXÉU;261650601A;5;0;
4824;XEXÉU;261650601A;6;0;
4825;XEXÉU;261650601A;7;1,97;
4826;XEXÉU;261650601A;8;0;
4827;XEXÉU;261650601A;9;0;
4828;XEXÉU;261650601A;10;0;
4829;XEXÉU;261650601A;11;0;
4830;XEXÉU;261650601A;12;0;
4831;XEXÉU;261650601A;13;2,01;
4832;XEXÉU;261650601A;14;0,2;
4833;XEXÉU;261650601A;15;0;
4834;XEXÉU;261650601A;16;6,76;
4835;XEXÉU;261650601A;17;1,39;
4836;XEXÉU;261650601A;18;17,24;
4837;XEXÉU;261650601A;19;30,84;
4838;XEXÉU;261650601A;20;7,73;
4839;XEXÉU;261650601A;21;0;
4840;XEXÉU;261650601A;22;9,04;
4841;XEXÉU;261650601A;23;8,88;
4842;XEXÉU;261650601A;24;0,2;
4843;XEXÉU;261650601A;25;2,38;
4844;XEXÉU;261650601A;26;5,72;
4845;XEXÉU;261650601A;27;0,2;
4846;XEXÉU;261650601A;28;6,56;
4847;XEXÉU;261650601A;29;2,8;
4848;XEXÉU;261650601A;30;2,17;
4849;XEXÉU;261650601A;31;0;
4850;ÁGUA PRETA;260040101A;1;4,17;
4851;ÁGUA PRETA;260040101A;2;3,94;
4852;ÁGUA PRETA;260040101A;3;0;
4853;ÁGUA PRETA;260040101A;4;0;
4854;ÁGUA PRETA;260040101A;5;0;
4855;ÁGUA PRETA;260040101A;6;0,2;
4856;ÁGUA PRETA;260040101A;7;2,57;
4857;ÁGUA PRETA;260040101A;8;0;
4858;ÁGUA PRETA;260040101A;9;0;
4859;ÁGUA PRETA;260040101A;10;1,57;
4860;ÁGUA PRETA;260040101A;11;0;
4861;ÁGUA PRETA;260040101A;12;0;
4862;ÁGUA PRETA;260040101A;13;3,57;
4863;ÁGUA PRETA;260040101A;14;0;
4864;ÁGUA PRETA;260040101A;15;0;
4865;ÁGUA PRETA;260040101A;16;1,99;
4866;ÁGUA PRETA;260040101A;17;0;
4867;ÁGUA PRETA;260040101A;18;15,4;
4868;ÁGUA PRETA;260040101A;19;14,91;
4869;ÁGUA PRETA;260040101A;20;5,93;
4870;ÁGUA PRETA;260040101A;21;0;
4871;ÁGUA PRETA;260040101A;22;5,15;
4872;ÁGUA PRETA;260040101A;23;6,9;
4873;ÁGUA PRETA;260040101A;24;0,6;
4874;ÁGUA PRETA;260040101A;25;0,99;
4875;ÁGUA PRETA;260040101A;26;6,88;
4876;ÁGUA PRETA;260040101A;27;1,97;
4877;ÁGUA PRETA;260040101A;28;4,56;
4878;ÁGUA PRETA;260040101A;29;3,76;
4879;ÁGUA PRETA;260040101A;30;0;
4880;ÁGUA PRETA;260040101A;31;0;
4881;ÁGUAS BELAS;260050001A;1;1,98;
4882;ÁGUAS BELAS;260050001A;2;1,19;
4883;ÁGUAS BELAS;260050001A;3;0;
4884;ÁGUAS BELAS;260050001A;4;0;
4885;ÁGUAS BELAS;260050001A;5;0;
4886;ÁGUAS BELAS;260050001A;6;0;
4887;ÁGUAS BELAS;260050001A;7;0;
4888;ÁGUAS BELAS;260050001A;8;0,99;
4889;ÁGUAS BELAS;260050001A;9;0;
4890;ÁGUAS BELAS;260050001A;10;0;
4891;ÁGUAS BELAS;260050001A;11;0;
4892;ÁGUAS BELAS;260050001A;12;0;
4893;ÁGUAS BELAS;260050001A;13;2,18;
4894;ÁGUAS BELAS;260050001A;14;0,2;
4895;ÁGUAS BELAS;260050001A;15;0;
4896;ÁGUAS BELAS;260050001A;16;1,19;
4897;ÁGUAS BELAS;260050001A;17;0;
4898;ÁGUAS BELAS;260050001A;18;2,18;
4899;ÁGUAS BELAS;260050001A;19;4,37;
4900;ÁGUAS BELAS;260050001A;20;7,33;
4901;ÁGUAS BELAS;260050001A;21;0;
4902;ÁGUAS BELAS;260050001A;22;1,97;
4903;ÁGUAS BELAS;260050001A;23;12,45;
4904;ÁGUAS BELAS;260050001A;24;7,29;
4905;ÁGUAS BELAS;260050001A;25;5,33;
4906;ÁGUAS BELAS;260050001A;26;1,6;
4907;ÁGUAS BELAS;260050001A;27;0;
4908;ÁGUAS BELAS;260050001A;28;5,13;
4909;ÁGUAS BELAS;260050001A;29;8,07;
4910;ÁGUAS BELAS;260050001A;30;4,36;
4911;ÁGUAS BELAS;260050001A;31;0;
4912;ÁGUAS BELAS;260050002A;1;1,19;
4913;ÁGUAS BELAS;260050002A;2;0,4;
4914;ÁGUAS BELAS;260050002A;3;0;
4915;ÁGUAS BELAS;260050002A;4;0;
4916;ÁGUAS BELAS;260050002A;5;0;
4917;ÁGUAS BELAS;260050002A;6;0,6;
4918;ÁGUAS BELAS;260050002A;7;1,58;
4919;ÁGUAS BELAS;260050002A;8;0,99;
4920;ÁGUAS BELAS;260050002A;9;0,4;
4921;ÁGUAS BELAS;260050002A;10;0;
4922;ÁGUAS BELAS;260050002A;11;0;
